X;Y;id;GLACIER;ZONE;PRIORITY;CORNER;name
-139.1040183314;61.0122802425;1;G13;1;A;1;G13_Z1A_ZZ01
-139.1032811178;61.0121563887;2;G13;1;A;2;G13_Z1A_ZZ02
-139.1040320927;61.0120430144;3;G13;1;A;3;G13_Z1A_ZZ03
-139.103298811;61.0119124905;4;G13;1;A;4;G13_Z1A_ZZ04
-139.1040360245;61.011921065;5;G13;1;A;5;G13_Z1A_ZZ05
-139.103762764;61.0122792898;6;G13;1;A;6;G13_Z1A_ZZ06
-139.1035740374;61.0119172541;7;G13;1;A;7;G13_Z1A_ZZ07
-139.1032791519;61.0122707153;8;G13;1;A;8;G13_Z1A_ZZ08
-139.1025399725;61.0118991506;9;G13;1;B;1;G13_Z1B_ZZ01
-139.101802759;61.0117752967;10;G13;1;B;2;G13_Z1B_ZZ02
-139.1025537339;61.0116619224;11;G13;1;B;3;G13_Z1B_ZZ03
-139.1018204521;61.0115313985;12;G13;1;B;4;G13_Z1B_ZZ04
-139.1025576657;61.0115399731;13;G13;1;B;5;G13_Z1B_ZZ05
-139.1022844052;61.0118981978;14;G13;1;B;6;G13_Z1B_ZZ06
-139.1020956785;61.0115361622;15;G13;1;B;7;G13_Z1B_ZZ07
-139.1018007931;61.0118896233;16;G13;1;B;8;G13_Z1B_ZZ08
-139.1045845113;61.0155269835;17;G13;1;C;1;G13_Z1C_ZZ01
-139.1038472978;61.0154031297;18;G13;1;C;2;G13_Z1C_ZZ02
-139.1045982727;61.0152897554;19;G13;1;C;3;G13_Z1C_ZZ03
-139.1038649909;61.0151592315;20;G13;1;C;4;G13_Z1C_ZZ04
-139.1046022045;61.0151678061;21;G13;1;C;5;G13_Z1C_ZZ05
-139.104328944;61.0155260308;22;G13;1;C;6;G13_Z1C_ZZ06
-139.1041402173;61.0151639951;23;G13;1;C;7;G13_Z1C_ZZ07
-139.1038453319;61.0155174563;24;G13;1;C;8;G13_Z1C_ZZ08
-139.1049619647;61.008682524;25;G13;2;A;1;G13_Z2A_ZZ01
-139.1042247511;61.0085586702;26;G13;2;A;2;G13_Z2A_ZZ02
-139.104975726;61.0084452959;27;G13;2;A;3;G13_Z2A_ZZ03
-139.1042424443;61.008314772;28;G13;2;A;4;G13_Z2A_ZZ04
-139.1049796578;61.0083233466;29;G13;2;A;5;G13_Z2A_ZZ05
-139.1047063973;61.0086815713;30;G13;2;A;6;G13_Z2A_ZZ06
-139.1045176706;61.0083195356;31;G13;2;A;7;G13_Z2A_ZZ07
-139.1042227852;61.0086729968;32;G13;2;A;8;G13_Z2A_ZZ08
-139.0970668994;61.0053435969;33;G13;2;B;1;G13_Z2B_ZZ01
-139.0963296859;61.005219743;34;G13;2;B;2;G13_Z2B_ZZ02
-139.0970806608;61.0051063687;35;G13;2;B;3;G13_Z2B_ZZ03
-139.096347379;61.0049758448;36;G13;2;B;4;G13_Z2B_ZZ04
-139.0970845926;61.0049844194;37;G13;2;B;5;G13_Z2B_ZZ05
-139.0968113321;61.0053426442;38;G13;2;B;6;G13_Z2B_ZZ06
-139.0966226054;61.0049806085;39;G13;2;B;7;G13_Z2B_ZZ07
-139.09632772;61.0053340697;40;G13;2;B;8;G13_Z2B_ZZ08
-139.0946134529;61.0078135216;41;G13;2;C;1;G13_Z2C_ZZ01
-139.0938762394;61.0076896677;42;G13;2;C;2;G13_Z2C_ZZ02
-139.0946272142;61.0075762934;43;G13;2;C;3;G13_Z2C_ZZ03
-139.0938939325;61.0074457695;44;G13;2;C;4;G13_Z2C_ZZ04
-139.094631146;61.0074543441;45;G13;2;C;5;G13_Z2C_ZZ05
-139.0943578855;61.0078125689;46;G13;2;C;6;G13_Z2C_ZZ06
-139.0941691589;61.0074505332;47;G13;2;C;7;G13_Z2C_ZZ07
-139.0938742735;61.0078039944;48;G13;2;C;8;G13_Z2C_ZZ08
-139.0959207782;60.9990898351;49;G13;3;A;1;G13_Z3A_ZZ01
-139.096671753;60.9989764608;50;G13;3;A;2;G13_Z3A_ZZ02
-139.0959384713;60.9988459369;51;G13;3;A;3;G13_Z3A_ZZ03
-139.0966756848;60.9988545114;52;G13;3;A;4;G13_Z3A_ZZ04
-139.0964024243;60.9992127362;53;G13;3;A;5;G13_Z3A_ZZ05
-139.0962136977;60.9988507005;54;G13;3;A;6;G13_Z3A_ZZ06
-139.0959188123;60.9992041617;55;G13;3;A;7;G13_Z3A_ZZ07
-139.0966579917;60.9992136889;56;G13;3;A;8;G13_Z3A_ZZ08
-139.0846129059;61.002162528;57;G13;3;B;1;G13_Z3B_ZZ01
-139.0853638807;61.0020491536;58;G13;3;B;2;G13_Z3B_ZZ02
-139.084630599;61.0019186298;59;G13;3;B;3;G13_Z3B_ZZ03
-139.0853678125;61.0019272043;60;G13;3;B;4;G13_Z3B_ZZ04
-139.085094552;61.0022854291;61;G13;3;B;5;G13_Z3B_ZZ05
-139.0849058254;61.0019233934;62;G13;3;B;6;G13_Z3B_ZZ06
-139.08461094;61.0022768546;63;G13;3;B;7;G13_Z3B_ZZ07
-139.0853501194;61.0022863818;64;G13;3;B;8;G13_Z3B_ZZ08
